repo_name,discussion,title,number,state,author,timestamp,emoji,category,converted_from_issue
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30586,Welcome to the Discussions beta!,30586,Unanswered,mdo,2020-04-14T22:58:24Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30780,When is V5 scheduled for release,30780,Answered,linjialiang,2020-05-12T00:49:44Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30841,Current marker with active class for dropdown-toggle Title,30841,Unanswered,Allmedialab,2020-05-16T19:02:58Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30833,IE 11 and Chrome Version 81 Issues with button dropdown,30833,Unanswered,morencigirl,2020-05-14T19:53:39Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30824,Consider display classes for touch devices?,30824,Unanswered,BartzikWebdesign,2020-05-14T11:30:35Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30823,Can I use both only Bootstrap-v3 CSS and bootstrap-v4 JS in same HTML file in angular,30823,Answered,ajaysharma92,2020-05-14T11:30:35Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30832,button-variant mixin in master is older than released version,30832,Answered,jeffmarshall,2020-05-14T19:05:37Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30794,I have one SVG that is rotate around a svg but is not fixed,30794,Unanswered,venus222-ux,2020-05-12T21:50:40Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30795,Text is not center in small device,30795,Answered,venus222-ux,2020-05-12T21:53:45Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30754,Adding custom image sizes limited to 1170 px width?,30754,Unanswered,raoulunger,2020-05-06T19:16:14Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30602,Release cadence?,30602,Unanswered,mdo,2020-04-15T23:55:24Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30776,Could we get a 4.4.2?,30776,Answered,jeffmarshall,2020-05-11T16:22:04Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30688,Are the words server side and client side misplaced in /docs/4.1/components/forms?,30688,Answered,sagarvd01,2020-04-29T18:17:38Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30659,needs-validation-feedback,30659,Unanswered,zhangchenglin,2020-04-28T03:17:03Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30649,Should we enable negative margins by default?,30649,Unanswered,MartijnCuppens,2020-04-26T09:57:42Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30636,How can we help you with v.5?,30636,Unanswered,ascensus-mdb,2020-04-23T08:47:55Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30630,Using the CSS filter declaration to invert colors of svg icons loaded via an img element.,30630,Answered,fantasyui-com,2020-04-21T17:20:32Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30643,Using SCSS to modify the default style elements.,30643,Unanswered,jproque,2020-04-24T14:29:30Z,,,True
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30604,Bootstrap column and children max-width,30604,Unanswered,r-obeen,2020-04-16T11:46:36Z,,,True
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30608,Toggle Button Validation,30608,Answered,mclamanna,2020-04-16T18:10:54Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30616,Drop down menu sometime won't work correctly,30616,Answered,SahnounM91,2020-04-19T16:52:14Z,,,False
twbs/bootstrap,https://github.com/twbs/bootstrap/discussions/30610,v5 release plan,30610,Unanswered,ascensus-mdb,2020-04-17T06:21:48Z,,,False
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9292,urgent,9292,Unanswered,abhijithurs,2020-07-11T20:05:00Z,🙏,Help,True
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9313,Running npm start does not start the development server. No error is given,9313,Unanswered,adityataps,2020-07-16T05:08:14Z,🙏,Help,False
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9203,Import and use native module (*.node),9203,Answered,sylvainDNS,2020-06-23T14:53:48Z,🙏,Help,False
facebook/create-react-app,https://github.com/facebook/create-react-app/discussions/9306,How to log processes and timings for npm start?,9306,Unanswered,DiegoMcDipster,2020-07-14T21:17:36Z,🙏,Help,False
